Benchmark,Device,Device Name,T,elem_per_thread (pow2),elem_per_thread,Skipped,NumElements,DataSize (bytes),Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec),GlobalMem BW (bytes/sec),BWUtil,Samples,Batch GPU (sec)
memcopyd2d,0,NVIDIA GeForce RTX 2080 Ti,I32,2^0,1,No,26214400,104857600,1408,0.0003989166555397726,0.01738021760566044,0.0003931026604576901,0.009924344981063865,66685888031.076996,533487104248.61597,0.8660504939100908,1409,0.0003939642301047417
memcopyd2d,0,NVIDIA GeForce RTX 2080 Ti,I32,2^1,2,No,26214400,104857600,1260,0.00040260360476190426,0.01390822734187144,0.0003971069413518142,0.0009565666458795845,66013451970.29817,528107615762.3854,0.8573175580558204,1345,0.0003939046526486989
memcopyd2d,0,NVIDIA GeForce RTX 2080 Ti,I32,2^2,4,No,26214400,104857600,1260,0.0004024921317460316,0.013974705840207663,0.0003969743966819744,0.0010666793997801008,66035493016.948845,528283944135.59076,0.8576038054149201,1345,0.0003939255271259294
memcopyd2d,0,NVIDIA GeForce RTX 2080 Ti,I32,2^3,8,No,26214400,104857600,1260,0.00040290409206349213,0.014630681748046312,0.0003971196146947991,0.0009579767286606969,66011345272.2468,528090762177.9744,0.8572901983408676,1345,0.000393920490023815
memcopyd2d,0,NVIDIA GeForce RTX 2080 Ti,int2,2^0,1,No,13107200,104857600,1260,0.00040274389444444484,0.014875358302495817,0.0003968644299440905,0.0011910711697338196,33026895360.32876,528430325765.26013,0.8578414379306171,1345,0.0003939316533312035
memcopyd2d,0,NVIDIA GeForce RTX 2080 Ti,int2,2^1,2,No,13107200,104857600,1259,0.00040326426290706935,0.023726216404375836,0.0003971606627449903,0.0009442619296231422,33002261375.557972,528036182008.92755,0.8572015941703369,1350,0.000393950511791088
memcopyd2d,0,NVIDIA GeForce RTX 2080 Ti,int2,2^2,4,No,13107200,104857600,1260,0.0004028547023809526,0.0149232035213374,0.0003969651020472005,0.0011140783730156586,33018519593.79923,528296313500.78766,0.8576238855532268,1345,0.00039391885636907525
memcopyd2d,0,NVIDIA GeForce RTX 2080 Ti,int2,2^3,8,No,13107200,104857600,1259,0.0004030327235901515,0.014881680710619377,0.00039715616391990913,0.0008771589675733302,33002635211.884083,528042163390.1453,0.8572113042047814,1345,0.00039393773415717935
memcopyd2d,0,NVIDIA GeForce RTX 2080 Ti,int4,2^0,1,No,6553600,104857600,1260,0.0004028665992063497,0.014804863900276605,0.00039701200929425983,0.0010635429553633748,16507309216.287617,528233894921.20374,0.8575225566902658,1346,0.00039397286447692237
memcopyd2d,0,NVIDIA GeForce RTX 2080 Ti,int4,2^1,2,No,6553600,104857600,1260,0.00040289980952380933,0.014745220362844957,0.0003970703707564441,0.0010265169815952134,16504882969.522451,528156255024.71844,0.8573965178972702,1345,0.00039375648923966076
memcopyd2d,0,NVIDIA GeForce RTX 2080 Ti,int4,2^2,4,No,6553600,104857600,1261,0.0004025158136399681,0.014966101534454858,0.000396607136107172,0.0014097342973691611,16524160569.38792,528773138220.41345,0.8583979516565153,1347,0.0003936756703264198
memcopyd2d,0,NVIDIA GeForce RTX 2080 Ti,int4,2^3,8,No,6553600,104857600,1261,0.0004026842402854879,0.014899826612291011,0.00039680017579367546,0.0012908786320762983,16516121715.146824,528515894884.69836,0.857980348838796,1346,0.00039365730455690476
copyd2d,0,NVIDIA GeForce RTX 2080 Ti,I32,2^0,1,No,26214400,104857600,1260,0.0004027279984126982,0.014687187995968872,0.0003969193370332788,0.0011220963759017892,66044653293.881,528357226351.048,0.8577227700504025,1345,0.0003937730980628485
copyd2d,0,NVIDIA GeForce RTX 2080 Ti,I32,2^1,2,No,26214400,104857600,1260,0.0004026724769841272,0.014747385021158075,0.0003968420295961311,0.0011993625860280408,66057519226.67712,528460153813.41693,0.8578898600867157,1345,0.00039364272333875465
copyd2d,0,NVIDIA GeForce RTX 2080 Ti,I32,2^2,4,No,26214400,104857600,1261,0.00040235320459952416,0.014009618046879562,0.0003968232694738536,0.0011823654835788904,66060642146.206726,528485137169.6538,0.8579304174832042,1341,0.000393731602975275
copyd2d,0,NVIDIA GeForce RTX 2080 Ti,I32,2^3,8,No,26214400,104857600,1258,0.0004033352980922097,0.014109623319962674,0.0003977442244467545,0.0011848694245357849,65907682346.52088,527261458772.16705,0.8559439265781933,1342,0.0003945194704877282
copyd2d,0,NVIDIA GeForce RTX 2080 Ti,int2,2^0,1,No,13107200,104857600,1262,0.0004017090419968307,0.013979686081259046,0.0003961978315504158,0.0014688092564889618,33082462740.16298,529319403842.60767,0.8592847464977397,1345,0.00039332062107922864
copyd2d,0,NVIDIA GeForce RTX 2080 Ti,int2,2^1,2,No,13107200,104857600,1263,0.00040162438004750665,0.01393497755799584,0.00039613430859168543,0.0014480806525339388,33087767748.76679,529404283980.2686,0.8594225389290074,1347,0.00039316844869385676
copyd2d,0,NVIDIA GeForce RTX 2080 Ti,int2,2^2,4,No,13107200,104857600,1262,0.00040210339302694146,0.015579215299292471,0.0003963390676844905,0.0014943006249018135,33070673745.526676,529130779928.4268,0.8589785388448488,1345,0.00039341818657063197
copyd2d,0,NVIDIA GeForce RTX 2080 Ti,int2,2^3,8,No,13107200,104857600,1261,0.00040260692783505175,0.014685956752558776,0.0003968111888035053,0.0012431994967279638,33031326660.727,528501226571.632,0.8579565366422598,1343,0.00039380819018172935
copyd2d,0,NVIDIA GeForce RTX 2080 Ti,int4,2^0,1,No,6553600,104857600,1265,0.0004011614869565216,0.014938744629672658,0.0003952859568030428,0.0009641949009119729,16579389900.424492,530540476813.58374,0.8612670078142594,1348,0.00039273102983876574
copyd2d,0,NVIDIA GeForce RTX 2080 Ti,int4,2^1,2,No,6553600,104857600,1264,0.00040147981250000016,0.014863676671450074,0.00039562817547422985,0.0011452841848662901,16565048715.613745,530081558899.63983,0.860522011200714,1349,0.0003929942861320886
copyd2d,0,NVIDIA GeForce RTX 2080 Ti,int4,2^2,4,No,6553600,104857600,1263,0.0004018825209817899,0.014671566106412397,0.00039609990106720107,0.001498612204472969,16545320971.660976,529450271093.15125,0.8594971933330378,1345,0.0003933830629937268
copyd2d,0,NVIDIA GeForce RTX 2080 Ti,int4,2^3,8,No,6553600,104857600,1261,0.00040242426883425875,0.014333669480397927,0.0003967609689596809,0.0012864713170634323,16517753793.130747,528568121380.1839,0.8580651321106881,1340,0.0003939037721548508
